NOMBRE,FECHA,T,PP
CARABAYLLO,2026-01-20 00:00:00,23.26,
CARABAYLLO,2026-01-20 01:00:00,23.06,
CARABAYLLO,2026-01-20 02:00:00,22.75,
CARABAYLLO,2026-01-20 03:00:00,22.52,
CARABAYLLO,2026-01-20 04:00:00,22.25,
CARABAYLLO,2026-01-20 05:00:00,22.2,
CARABAYLLO,2026-01-20 06:00:00,22.12,
CARABAYLLO,2026-01-20 07:00:00,22.61,
CARABAYLLO,2026-01-20 08:00:00,25.27,
CARABAYLLO,2026-01-20 09:00:00,27.24,
CARABAYLLO,2026-01-20 10:00:00,28.71,
CARABAYLLO,2026-01-20 11:00:00,29.84,
CARABAYLLO,2026-01-20 12:00:00,30.15,
CARABAYLLO,2026-01-20 13:00:00,30.92,
CARABAYLLO,2026-01-20 14:00:00,31.6,
CARABAYLLO,2026-01-20 15:00:00,30.92,
CARABAYLLO,2026-01-20 16:00:00,30.55,
CARABAYLLO,2026-01-20 17:00:00,29.79,
CARABAYLLO,2026-01-20 18:00:00,28.26,
CARABAYLLO,2026-01-20 19:00:00,26.03,
CARABAYLLO,2026-01-20 20:00:00,24.59,
CARABAYLLO,2026-01-20 21:00:00,23.9,
CARABAYLLO,2026-01-20 22:00:00,23.67,
CARABAYLLO,2026-01-20 23:00:00,23.5,
CARABAYLLO,2026-01-21 00:00:00,22.95,
CARABAYLLO,2026-01-21 01:00:00,23.31,
CARABAYLLO,2026-01-21 02:00:00,22.73,
CARABAYLLO,2026-01-21 03:00:00,22.13,
CARABAYLLO,2026-01-21 04:00:00,22.03,
CARABAYLLO,2026-01-21 05:00:00,21.94,
CARABAYLLO,2026-01-21 06:00:00,21.66,
CARABAYLLO,2026-01-21 07:00:00,22.46,
CARABAYLLO,2026-01-21 08:00:00,25.08,
CARABAYLLO,2026-01-21 09:00:00,26.43,
CARABAYLLO,2026-01-21 10:00:00,28.12,
CARABAYLLO,2026-01-21 11:00:00,29.69,
CARABAYLLO,2026-01-21 12:00:00,31.12,
CARABAYLLO,2026-01-21 13:00:00,30.73,
CARABAYLLO,2026-01-21 14:00:00,31.07,
CARABAYLLO,2026-01-21 15:00:00,30.58,
CARABAYLLO,2026-01-21 16:00:00,30.1,
CARABAYLLO,2026-01-21 17:00:00,28.44,
CARABAYLLO,2026-01-21 18:00:00,26.51,
CARABAYLLO,2026-01-21 19:00:00,25.43,
CARABAYLLO,2026-01-21 20:00:00,24.41,
CARABAYLLO,2026-01-21 21:00:00,23.84,
CARABAYLLO,2026-01-21 22:00:00,23.72,
CARABAYLLO,2026-01-21 23:00:00,23.4,
CARABAYLLO,2026-01-22 00:00:00,23.07,
CARABAYLLO,2026-01-22 01:00:00,22.79,
CARABAYLLO,2026-01-22 02:00:00,22.61,
CARABAYLLO,2026-01-22 03:00:00,22.31,
CARABAYLLO,2026-01-22 04:00:00,22.32,
CARABAYLLO,2026-01-22 05:00:00,22.45,
CARABAYLLO,2026-01-22 06:00:00,22.48,
CARABAYLLO,2026-01-22 07:00:00,22.85,
CARABAYLLO,2026-01-22 08:00:00,23.76,
CARABAYLLO,2026-01-22 09:00:00,24.9,
CARABAYLLO,2026-01-22 10:00:00,25.53,
CARABAYLLO,2026-01-22 11:00:00,25.72,
CARABAYLLO,2026-01-22 12:00:00,26.12,
CARABAYLLO,2026-01-22 13:00:00,26.32,
CARABAYLLO,2026-01-22 14:00:00,28.54,
CARABAYLLO,2026-01-22 15:00:00,30.86,
CARABAYLLO,2026-01-22 16:00:00,31.23,
CARABAYLLO,2026-01-22 17:00:00,29.53,
CARABAYLLO,2026-01-22 18:00:00,27.99,
CARABAYLLO,2026-01-22 19:00:00,26.07,
CARABAYLLO,2026-01-22 20:00:00,25.49,
CARABAYLLO,2026-01-22 21:00:00,25.08,
CARABAYLLO,2026-01-22 22:00:00,24.92,
CARABAYLLO,2026-01-22 23:00:00,24.74,
CARABAYLLO,2026-01-23 00:00:00,24.09,
CARABAYLLO,2026-01-23 01:00:00,23.64,
CARABAYLLO,2026-01-23 02:00:00,23.29,
CARABAYLLO,2026-01-23 03:00:00,23.22,
CARABAYLLO,2026-01-23 04:00:00,22.85,
CARABAYLLO,2026-01-23 05:00:00,23.02,
CARABAYLLO,2026-01-23 06:00:00,22.96,
CARABAYLLO,2026-01-23 07:00:00,23.49,
CARABAYLLO,2026-01-23 08:00:00,25.29,
CARABAYLLO,2026-01-23 09:00:00,27.37,
CARABAYLLO,2026-01-23 10:00:00,28.95,
CARABAYLLO,2026-01-23 11:00:00,29.34,
