CODIGO,ESTACION,YEAR,MONTH,DAY,PP,TMAX,TMIN
109085,JACAS_GRANDE,2010,04,06,1.0,16.2,7.4
109085,JACAS_GRANDE,2010,04,07,0.0,20.0,7.0
109085,JACAS_GRANDE,2010,04,08,0.0,20.0,6.4
109085,JACAS_GRANDE,2010,04,09,0.0,20.2,6.2
109085,JACAS_GRANDE,2010,04,10,0.0,23.2,7.2
109085,JACAS_GRANDE,2010,04,11,1.4,23.0,3.4
109085,JACAS_GRANDE,2010,04,12,0.0,22.0,6.2
109085,JACAS_GRANDE,2010,04,13,1.0,21.2,6.0
109085,JACAS_GRANDE,2010,04,14,0.0,20.2,2.0
109085,JACAS_GRANDE,2010,04,15,0.0,21.2,4.0
109085,JACAS_GRANDE,2010,04,16,0.0,17.4,7.2
109085,JACAS_GRANDE,2010,04,17,0.0,20.0,7.2
109085,JACAS_GRANDE,2010,04,18,0.0,19.8,6.0
109085,JACAS_GRANDE,2010,04,19,0.0,18.2,7.0
109085,JACAS_GRANDE,2010,04,20,1.0,19.4,7.4
109085,JACAS_GRANDE,2010,04,21,0.0,21.2,5.4
109085,JACAS_GRANDE,2010,04,22,0.0,20.0,6.2
109085,JACAS_GRANDE,2010,04,23,0.5,19.4,6.2
109085,JACAS_GRANDE,2010,04,24,0.0,22.0,7.0
109085,JACAS_GRANDE,2010,04,25,1.6,20.0,7.4
109085,JACAS_GRANDE,2010,04,26,0.5,22.0,7.4
109085,JACAS_GRANDE,2010,04,27,1.9,15.4,6.4
109085,JACAS_GRANDE,2010,04,28,0.0,20.4,4.4
109085,JACAS_GRANDE,2010,04,29,1.2,19.4,6.2
109085,JACAS_GRANDE,2010,04,30,6.9,19.0,8.0
109085,JACAS_GRANDE,2010,05,01,-999,-999,-999
109085,JACAS_GRANDE,2010,06,01,0.0,21.2,6.4
109085,JACAS_GRANDE,2010,06,02,5.8,19.8,6.6
109085,JACAS_GRANDE,2010,06,03,1.4,18.6,6.8
109085,JACAS_GRANDE,2010,06,04,0.4,16.2,5.2
109085,JACAS_GRANDE,2010,06,05,0.2,17.4,6.2
109085,JACAS_GRANDE,2010,06,06,1.0,14.8,6.0
109085,JACAS_GRANDE,2010,06,07,2.8,16.8,5.2
109085,JACAS_GRANDE,2010,06,08,0.0,18.6,3.6
109085,JACAS_GRANDE,2010,06,09,0.0,18.6,4.8
109085,JACAS_GRANDE,2010,06,10,0.0,18.8,3.8
109085,JACAS_GRANDE,2010,06,11,0.0,-999,2.2
109085,JACAS_GRANDE,2010,06,12,0.0,18.6,2.0
109085,JACAS_GRANDE,2010,06,13,0.0,20.2,8.0
109085,JACAS_GRANDE,2010,06,14,0.0,20.6,6.8
109085,JACAS_GRANDE,2010,06,15,0.0,21.4,6.6
109085,JACAS_GRANDE,2010,06,16,0.0,21.8,-999
109085,JACAS_GRANDE,2010,06,17,0.0,21.4,-999
109085,JACAS_GRANDE,2010,06,18,0.0,20.2,4.2
109085,JACAS_GRANDE,2010,06,19,0.3,19.8,7.2
109085,JACAS_GRANDE,2010,06,20,0.0,19.8,6.6
109085,JACAS_GRANDE,2010,06,21,1.1,18.2,6.2
109085,JACAS_GRANDE,2010,06,22,0.0,20.0,-999
109085,JACAS_GRANDE,2010,06,23,0.0,20.2,6.0
109085,JACAS_GRANDE,2010,06,24,0.0,18.0,5.8
109085,JACAS_GRANDE,2010,06,25,0.0,18.2,6.6
109085,JACAS_GRANDE,2010,06,26,0.0,20.0,6.8
109085,JACAS_GRANDE,2010,06,27,0.0,20.2,7.0
109085,JACAS_GRANDE,2010,06,28,0.0,19.4,6.2
109085,JACAS_GRANDE,2010,06,29,0.0,19.4,-999
109085,JACAS_GRANDE,2010,06,30,0.0,15.8,-999
109085,JACAS_GRANDE,2010,07,01,-999,-999,-999
109085,JACAS_GRANDE,2010,09,01,1.2,15.6,-999
109085,JACAS_GRANDE,2010,09,02,0.0,18.4,-999
109085,JACAS_GRANDE,2010,09,03,2.3,21.8,-999
109085,JACAS_GRANDE,2010,09,04,0.4,22.4,7.6
109085,JACAS_GRANDE,2010,09,05,0.6,18.0,7.8
109085,JACAS_GRANDE,2010,09,06,0.9,18.4,7.6
109085,JACAS_GRANDE,2010,09,07,1.3,20.0,5.4
109085,JACAS_GRANDE,2010,09,08,0.0,21.4,5.6
109085,JACAS_GRANDE,2010,09,09,0.0,20.8,5.0
109085,JACAS_GRANDE,2010,09,10,0.0,21.6,6.2
109085,JACAS_GRANDE,2010,09,11,0.0,20.0,8.4
109085,JACAS_GRANDE,2010,09,12,0.0,21.4,6.0
109085,JACAS_GRANDE,2010,09,13,2.6,21.4,-999
109085,JACAS_GRANDE,2010,09,14,0.0,20.2,6.8
109085,JACAS_GRANDE,2010,09,15,0.0,18.6,6.0
109085,JACAS_GRANDE,2010,09,16,0.0,-999,5.2
109085,JACAS_GRANDE,2010,09,17,0.0,21.8,3.2
109085,JACAS_GRANDE,2010,09,18,0.2,16.8,3.8
109085,JACAS_GRANDE,2010,09,19,0.0,13.2,7.0
109085,JACAS_GRANDE,2010,09,20,0.0,20.0,-999
109085,JACAS_GRANDE,2010,09,21,0.0,21.2,-999
109085,JACAS_GRANDE,2010,09,22,0.0,20.0,5.2
109085,JACAS_GRANDE,2010,09,23,0.0,20.8,8.6
109085,JACAS_GRANDE,2010,09,24,12.0,20.8,5.4
109085,JACAS_GRANDE,2010,09,25,0.0,19.2,6.8
109085,JACAS_GRANDE,2010,09,26,0.0,-999,6.8
109085,JACAS_GRANDE,2010,09,27,0.0,21.8,6.0
109085,JACAS_GRANDE,2010,09,28,0.0,23.6,6.2
109085,JACAS_GRANDE,2010,09,29,0.0,21.4,6.2
109085,JACAS_GRANDE,2010,09,30,0.0,20.8,6.4
109085,JACAS_GRANDE,2010,10,01,0.0,22.2,8.6
109085,JACAS_GRANDE,2010,10,02,0.5,-999,8.0
109085,JACAS_GRANDE,2010,10,03,0.0,19.0,7.2
109085,JACAS_GRANDE,2010,10,04,0.0,23.0,9.0
109085,JACAS_GRANDE,2010,10,05,0.0,23.0,8.8
109085,JACAS_GRANDE,2010,10,06,4.8,25.4,-999
109085,JACAS_GRANDE,2010,10,07,0.0,20.8,7.8
109085,JACAS_GRANDE,2010,10,08,0.2,23.8,7.0
109085,JACAS_GRANDE,2010,10,09,1.7,15.8,9.0
109085,JACAS_GRANDE,2010,10,10,0.2,20.0,8.2
109085,JACAS_GRANDE,2010,10,11,0.5,19.2,6.8
109085,JACAS_GRANDE,2010,10,12,0.0,18.0,9.2
109085,JACAS_GRANDE,2010,10,13,0.0,20.4,7.0
109085,JACAS_GRANDE,2010,10,14,0.4,21.4,4.2
109085,JACAS_GRANDE,2010,10,15,0.7,24.2,6.6
109085,JACAS_GRANDE,2010,10,16,2.2,20.4,7.6
109085,JACAS_GRANDE,2010,10,17,2.5,19.8,-999
109085,JACAS_GRANDE,2010,10,18,3.2,20.0,5.4
109085,JACAS_GRANDE,2010,10,19,1.8,17.2,6.8
109085,JACAS_GRANDE,2010,10,20,3.1,17.2,8.6
109085,JACAS_GRANDE,2010,10,21,7.9,19.0,5.4
109085,JACAS_GRANDE,2010,10,22,2.7,21.8,5.2
109085,JACAS_GRANDE,2010,10,23,0.0,20.0,5.2
109085,JACAS_GRANDE,2010,10,24,0.0,19.2,8.2
109085,JACAS_GRANDE,2010,10,25,0.7,21.2,6.0
109085,JACAS_GRANDE,2010,10,26,0.2,13.4,7.2
109085,JACAS_GRANDE,2010,10,27,1.0,21.4,6.8
109085,JACAS_GRANDE,2010,10,28,6.8,23.4,8.2
109085,JACAS_GRANDE,2010,10,29,0.0,16.4,7.2
109085,JACAS_GRANDE,2010,10,30,0.3,23.2,8.0
109085,JACAS_GRANDE,2010,10,31,5.0,21.8,10.2
109085,JACAS_GRANDE,2010,11,01,1.2,19.4,8.8
109085,JACAS_GRANDE,2010,11,02,0.6,15.6,8.2
109085,JACAS_GRANDE,2010,11,03,0.8,21.0,6.8
109085,JACAS_GRANDE,2010,11,04,1.0,-999,6.4
109085,JACAS_GRANDE,2010,11,05,0.0,20.8,8.8
109085,JACAS_GRANDE,2010,11,06,8.5,26.2,6.8
109085,JACAS_GRANDE,2010,11,07,0.0,26.4,6.8
109085,JACAS_GRANDE,2010,11,08,0.5,23.0,7.2
109085,JACAS_GRANDE,2010,11,09,1.2,17.4,7.4
109085,JACAS_GRANDE,2010,11,10,3.2,19.6,8.0
109085,JACAS_GRANDE,2010,11,11,3.2,15.0,8.4
109085,JACAS_GRANDE,2010,11,12,7.1,15.6,8.8
109085,JACAS_GRANDE,2010,11,13,3.7,18.6,8.8
109085,JACAS_GRANDE,2010,11,14,0.6,18.4,8.6
109085,JACAS_GRANDE,2010,11,15,1.6,23.0,8.2
109085,JACAS_GRANDE,2010,11,16,1.8,23.0,9.0
109085,JACAS_GRANDE,2010,11,17,1.6,19.4,7.2
109085,JACAS_GRANDE,2010,11,18,8.8,20.4,6.0
109085,JACAS_GRANDE,2010,11,19,3.8,20.4,5.4
109085,JACAS_GRANDE,2010,11,20,1.3,16.0,6.0
