fecha,hora,473,47E1F02E,47201542,4724D566,472606FA,4727F484,4727470A,472FF022,472F50DA,472F86B2,472FA05E,47E94706,472C92CA,472F6540,472F7636,472FB328,472FE354,472F00A6,472F95C4,47E281B0,472FC5B8,47E3055E,472FD6CE,472F43AC,4726706A,472680EE,47269398,4726A602,4726C3E4,472D4658,472EA2A4,472F13D0,47E35522,105130,47E1D6C2,47E1E358,47E1C5B4,47E207A4,221008,106140
2026-07-13,19:00,0.0486292085269986,0.1394857013283334,0.026746848528432,0.0430774560020292,0.0715695582865419,0.1319598523395853,,0.0279213809164948,0.0031827168110399,0.0760236386960009,0.0708426736317891,0.0996459357185013,0.0106608909997011,0.0426221228584314,0.0492990011454564,0.0608287626081554,0.0280474633727147,0.0851813915763453,0.0428293031186526,0.0607795368852021,0.0340898064567558,0.1993832466110763,0.0109296845475008,0.0708662515211764,0.0217178904693643,0.0550635549717315,0.0096460963862985,0.0078476678344957,0.1462658103450197,0.1050218808315684,0.0118913674045379,0.0525232277059466,0.0706181399152779,0.076183469777599,0.1368600560714025,0.109457212642062,0.1666696759047375,0.0369871910656423,0.0133308218252926,0.0005510488665735
2026-07-13,20:00,0.0590274306927879,0.1026012008957289,0.0292723957774795,0.0401143909172812,0.0934282046031015,0.1188042411839721,,0.0647268229951959,0.0046293050010594,0.3221615405606838,0.028197404697585,0.0883982072952227,0.0117249500611362,0.0589792321853361,0.5778442042664884,0.0695968693346382,0.0244402707559444,0.1463533169468566,0.0788890439037675,0.0673595294523716,0.0426586586438907,0.1653450124893332,0.0136811286546472,0.0962992885891166,0.0138237443941881,0.0447074332973117,0.0066033550929585,0.0092145519225953,0.8387313558039818,0.0558700609356088,0.0087950016084171,0.067216729115212,0.0518652655659248,0.0203198639353734,0.2017757847660156,0.084056928655014,0.1280074953208317,0.0424230653722069,0.0147177166467085,0.0003849824200061
2026-07-13,21:00,0.049022374191604,0.9087562093940714,0.0258390717413492,0.0364737817035922,0.0579225437067681,0.0628009118535561,,0.0520851187228128,0.0036867443469646,0.003444975185633,0.0305260309174692,0.0627091476126548,0.009978535186373,0.0311209614502853,0.0457159397819577,0.0699562372081179,0.0985623965173359,0.0730209757960843,0.00116471391096,0.0559884592988447,0.1531547815962773,0.099380393554728,0.0096921506891341,0.060178448669106,0.0156829791170859,0.0306094524996082,0.0057176765671435,0.0046280207273742,0.290462618188766,0.051735675152787,0.0095663029998238,0.0368854930584171,0.0618842911825392,0.0665158458764921,0.0041487326984558,0.0781640017477304,0.0759237473240479,0.036988452646972,0.0068360964088978,0.0004364638424953
2026-07-13,22:00,0.0356421575607893,0.0069828039513932,0.023843791727515,0.0310999553901241,0.0562122854964691,0.1710198979576916,,0.0162274070336753,0.0016601164578291,0.0144595879126999,0.140511707183771,0.062508761064605,0.0080609469849519,0.0224803681305527,0.0,0.0431857004630526,0.0433124565493676,0.0743522888397308,0.0076350208292739,0.0385879851646329,0.1029770045305941,0.5310023686457732,0.0045277115601963,0.053405564047693,0.0205112009864993,0.0277619475581906,0.0077475996804336,0.0203588888792278,0.3949781226695708,0.0573675925883232,0.009152494872837,0.034350141285935,0.0169583865734308,0.0095173691060753,0.0351987966704196,0.0640475733445092,0.0595736625531871,0.0262560991411513,0.0035927571874659,0.0003491879756643
2026-07-13,23:00,0.022844940729933,0.1525890569200044,0.0114118854603588,0.0171112794487415,0.0417368951214299,0.1136860352151803,,0.0160382376357333,0.0015028567316496,0.14333469543604,0.2416888856172944,0.1738325511880365,0.0076100620110018,0.0171507904952717,0.0163563602360164,0.0417379564973813,0.0279708352380033,0.1471060023011126,0.3740720857599525,0.0291171619325252,0.0171711406489043,0.1356774810593982,0.0031042296391147,0.033872561166451,0.0700748511430778,0.0233259523151561,0.0074982597646881,0.0136364626469546,0.0898230392359636,0.0419740278944415,0.0087710371425706,0.0224009181702129,0.0230053896095102,0.0110961581088237,0.1592333298570216,0.1903315150518497,0.0357785004270346,0.0283524272045911,0.0128036738561436,0.0003106765379262
2026-07-14,00:00,0.0180191506199835,0.0288071295149528,0.0111786221052023,0.0171112794487415,0.0292191803354698,0.032403577856351,,0.0156618788996778,0.0015028567316496,0.0761886374354096,0.2000124448995971,0.0099387041107352,0.0037444732593161,0.0171507904952717,0.0163563602360164,0.012201595653951,0.1824208730241666,0.0537606314568909,0.0275719928520293,0.0115070569170275,0.0171711406489043,0.2090469626485608,0.0030783753257961,0.033872561166451,0.069781939483914,0.0167539281073896,0.0073301768183734,0.0233248433196427,0.0185738083061436,0.0132991904982074,0.0081360764049008,0.0224009181702129,0.0224982522282487,0.0402702781620871,0.0288222832431215,0.2671656235795466,0.0136519442731553,0.0305973204675345,0.0128036738561436,0.000101598024794
2026-07-14,01:00,0.017947586702325,0.0330291867524049,0.0111934748286417,0.0171112794487415,0.0296609691276738,0.0046417751010063,,0.0154371593059231,0.0015037242657015,0.0221014974264739,0.0186922416367373,0.032338956144391,0.0029967489415429,0.0171507904952717,0.0163563602360164,0.0093187950973005,0.0136062477644536,0.0537606314568909,0.0279870071274464,0.0114791740248376,0.0171711406489043,0.0180896986115736,0.0030705365266981,0.033872561166451,0.0220645851306374,0.0145336748796506,0.0082905033972736,0.0091192302643734,0.0518576338321343,0.0052197145730879,0.0081380067366251,0.0224009181702129,0.0225046068638338,0.0326667546079643,0.0284562422739679,0.0011747217708968,0.0136865748737553,0.0196269609019274,0.0128036738561436,0.0001063462924029
2026-07-14,02:00,0.0211409363471881,0.2434089139875097,0.0176839023345392,0.024399017281599,0.0327512856876131,0.0075354468851741,,0.0155872758969633,0.0015706293729063,0.3619875607887233,0.0210064579818828,0.1505778444930501,0.0027347650495503,0.0195341548391771,0.0164122687875416,0.0093390345029926,0.0040558207674377,0.0642731945416924,9.549857549857548e-05,0.0086855267381924,0.0494902810121333,0.2911416053438662,0.0037382269409103,0.0421830248075365,0.0188741518563405,0.0149934251998516,0.012079334728457,0.0065727017568652,0.3479638058110473,0.0046228721277053,0.0082294140021165,0.0280932296821398,0.0289593836679207,0.0343284639476661,0.03000543219405,0.0745981789272533,0.0107369316737971,0.0182717902667325,0.0138387253138171,9.560227566700237e-05
2026-07-14,03:00,0.0247374354696484,0.039994762931665,0.0180194991963103,0.0261448149532311,0.032574425165444,0.0075354468851741,,0.016602292705331,0.0305976796735952,0.1000776898032519,0.0239086264455341,0.024342387893016,0.0029095515866004,0.0167439876424282,0.0204242919944097,0.0093390345029926,0.0102013171179784,0.0640298632246536,0.0262160119041743,0.0086855267381924,0.04230385305774,0.048145508314596,0.003863560635429,0.0452236223492105,0.0183203500912703,0.0150608181064857,0.0120119312892234,0.0018635687092473,0.0295614424421167,0.0046228721277053,0.0083462135711698,0.0303438527991544,0.0349496407588797,0.0400524072125733,0.031947824541875,0.0535494786715929,0.0107369316737971,0.0199198986333179,0.014418769712077,9.569294994316728e-05
2026-07-14,04:00,0.0266241067455481,0.0826861883099778,0.0490991089422799,0.0265406990171463,0.0344266501721795,0.0075354468851741,,0.0569245973482233,0.0248070477520067,0.1056643192130569,0.0992523498978083,0.0359832913662566,0.0030457603363633,0.016784018211794,0.0035563150911344,0.0093390345029926,0.0102409597743239,0.0911673839052084,0.0865991097976187,0.0086855267381924,0.0176735631616009,0.0628795186791962,0.0038973436674669,0.0545691825859944,0.018197588802005,0.0150608181064857,0.012075379027746,0.0050376774890985,0.0128452342826125,0.0046228721277053,0.00811747616027,0.0477721776197952,0.0361640600433709,0.0618552129714815,0.031947824541875,0.0538764529067898,0.0107369316737971,0.020226101584626,0.0141080008070798,9.569294994316728e-05
2026-07-14,05:00,0.0256331071318141,0.0162257850718372,0.3616869883479748,0.026573305351914,0.0341933469269947,0.0075354468851741,,0.0166022443671645,0.0022508625497858,0.223732274023673,0.0247733003585751,0.0359832913662566,0.0029886015506106,0.0729521227786167,0.0036267692341853,0.0093390345029926,0.0056052731484399,0.0765953824352892,0.315082909559542,0.0086855267381924,0.017539320079515,0.0628795186791962,0.0038973436674669,0.0508540583323187,0.0183178067780094,0.0150608181064857,0.0121394286158936,0.0258054096900683,0.0128452342826125,0.0046228721277053,0.0097262393373525,0.0440878350401682,0.0384922956925893,0.041703353207667,0.031947824541875,0.0540733314137438,0.0107369316737971,0.0202381794612936,0.013547852896713,0.000145764842535
2026-07-14,06:00,0.0246669571961179,0.0126497964638299,0.059614217036171,0.0263191694998297,0.0271240725476743,0.0075354468851741,,0.016581195440652,0.0022817775271429,0.0515690651531548,0.0245979012121963,0.035412772918132,0.0029489251214402,0.0232061811098699,0.1913303718460536,0.0093390345029926,0.0079762725275074,0.0723196034170737,0.0310358807415377,0.0086129839075674,0.0250774369400156,0.0500961805792875,0.0068467551067763,0.0495401249712074,0.0181818788011972,0.0145624788308434,0.0120926286814765,0.0122393589026883,0.0123275252997672,0.0046228721277053,0.0115339500486951,0.0440536897673216,0.036745246062424,0.0693057790918525,0.025254151645477,0.0538816101625785,0.0107369316737971,0.0217810052474489,0.0138554135721734,3.758536470494242e-05
2026-07-14,07:00,0.0234427786600899,0.0129527143306006,0.0172894973579101,0.0219829825099409,0.0228877050704455,0.0075354468851741,,0.011965448135728,0.0018849058972319,0.051496763225453,0.0550169750476211,0.0125295176410555,0.0053553022501476,0.0171564479847542,0.0076603444401199,0.0093390345029926,0.0080380493551843,0.068493309381776,0.024748985075079,0.0086129839075674,0.0217335804775599,0.0447730823834435,0.0021953839968896,0.0488054633934971,0.0180866345227851,0.0155357902758335,0.0121543211461565,0.0212133495049338,0.0124212571310087,0.0046228721277053,0.0126665154890237,0.043061914304666,0.028282359454215,0.0772987650362475,0.0198294986831132,0.0408028953774962,0.0107369316737971,0.0215651501451933,0.0010136747018602,3.758536470494242e-05
2026-07-14,08:00,0.0056541991699939,0.0512237222071952,0.012800722145229,0.0207643737915698,0.0231588660505974,0.0075354468851741,,0.0112546260586663,0.0016347790862526,0.145529465341103,0.0549487058168518,0.0125295176410555,0.0046642490354973,0.0150603106310291,0.0125051837339006,0.0093390345029926,0.0081390362875645,0.0370022931644003,0.0030941935385419,0.0086129839075674,0.0201218974299126,0.0447730823834435,0.0090745459516462,0.0219937255052475,0.0180107511488633,0.0155357902758335,0.012115807453712,0.0034003146611461,0.0124212571310087,0.0046228721277053,0.0125120993070893,0.0144535764274872,0.0640747444991094,0.0987313679291256,0.0198294986831132,0.0406173158857548,0.0107369316737971,0.0209332861258676,0.0111959333858605,3.758536470494242e-05
2026-07-14,09:00,0.0060684365953069,0.0129527143306006,0.0129042166083971,0.0182741960586602,0.0229218959503348,0.0075354468851741,,0.0091191405218604,0.0009648879541885,0.0158391252983392,0.0145764187154849,0.0095714563614546,0.0038130715129856,0.013823701399791,0.0117425066753177,0.0093390345029926,0.0010967779812253,0.0169350120876872,0.0090129562681389,0.0086129839075674,0.0125744990608139,0.0447730823834435,0.007707699639611,0.0084935954566883,0.018116940140488,0.0155357902758335,0.0122871145266005,0.002169460924502,0.0124212571310087,0.0046228721277053,0.0121968739018952,0.0076149582773883,0.0550363379841518,0.0732983056222668,0.0198294986831132,0.0344964601952083,0.0107369316737971,0.0200501723380542,0.0090414030846582,3.758536470494242e-05
2026-07-14,10:00,0.0042946347764063,0.0117162391677659,0.0058315078810946,0.0028019209175488,0.0085467135475365,0.0075354468851741,,0.0071224313137049,0.0007464557621972,0.0139689386939159,0.0014786084939164,0.010733258343507,0.0007507878701472,0.0005686405940698,0.0015073643501618,0.0093390345029926,0.0072540091250684,0.0014627453816468,0.0029271308234903,0.0086129839075674,0.0039006681651095,0.0092986865346383,7.262299562998405e-05,0.0028845466688934,0.0020471236592406,0.012805764188062,0.0122617342220417,0.0015051694441791,0.0122196521734786,0.0046228721277053,0.0002958845459013,0.0016389937014684,0.0046779706189067,0.0617077269483615,0.0077879312675677,0.0034328944243608,0.0107369316737971,0.0088097489509613,0.000487447089947,3.571757210496962e-05
2026-07-14,11:00,0.0060919058233631,0.0161518998941762,0.0036458406257715,0.0018866007973836,0.0080286600736494,0.0092932949405433,,0.0063469795440223,0.0004804183911709,0.0109522796842682,0.0012924311583285,0.0102940397778795,0.00133582094163,0.0005366019678559,0.0013198471789504,0.0093938321450962,0.0286386063652551,0.0044854669237601,0.0013062224972798,0.0141774885444686,0.0024550356543381,0.0128619256139285,0.0017822083930049,0.0053917495709186,0.1416212929220207,0.0123362190206108,0.0084191101289806,0.0001634163655851,0.0176199949345089,0.0059142613225695,0.0004624037534882,0.0021338578468563,0.0042343403275086,0.0318942307396501,0.012507082703224,0.0040807115200278,0.0171965754652523,0.0121276457358709,0.0024903173767596,6.202356812391507e-05
2026-07-14,12:00,0.0064559240031821,0.0154193249124242,0.0028628030469389,0.002901946471292,0.0056649514016085,4.772727272727273e-05,,0.0058848880378919,0.0004319092011018,0.0096327099684264,0.0009315690887912,0.0207111795242216,0.0029087394786298,0.0007316646348714,0.0011088895307058,0.0156897256009244,0.0107648527597876,0.0015077960347062,0.0015716523382109,0.0142649745190981,0.0017365568055599,0.0072712586013531,0.0014047634544385,0.0022323209533427,0.0172874107075233,0.0162653099327152,0.0052664934662133,0.0198874611134479,0.0196789016372728,0.0205620538586913,0.0004898369706646,0.0007183715296678,0.0029202337533485,0.0007651594291421,0.0059156040866375,0.0029427898566322,0.0246046477238299,0.0119792322389314,0.0032656921997357,4.170432214228708e-05
2026-07-14,13:00,0.0188030850916995,0.0264401097390958,0.0066662584440647,0.0045936185481866,0.0143200715532385,0.013619873797429,,0.0072628679738167,0.0003894553302434,0.0199042137426761,0.0027330327301567,0.0138225263607789,0.0069850708468967,0.0022329639571549,0.0026263429525565,0.0485012044182127,0.0580886068281265,0.0041318465368429,0.0018236982168468,0.0324645192387309,0.0052248709376053,0.0154982410531411,0.0019342628203114,0.0043818558350854,0.015327325399783,0.0202311035783855,0.0064754132400094,0.0017718789322088,0.0310683435352298,0.0511433892611774,0.0031247500446461,0.0024416238003733,0.0090351808491188,0.0702153135178274,0.0102018869719466,0.010519396710394,0.0646785367794321,0.0207993827094684,0.0034704254471371,0.0001939541144209
2026-07-14,14:00,0.0221842900669699,0.0545726599092594,0.0077752617130615,0.0123026786453547,0.044030131159162,0.1245997653433799,,0.012219175742613,0.0003091630979157,0.0324972124502299,0.0073023779971887,0.0276627936308488,0.0098446611867921,0.0041847431676346,0.004113597316487,0.0553490732866066,0.0212821320963733,0.0162707261418742,0.0046174712916272,0.0758095939249072,0.0071860047154878,0.0500863088087458,0.002170011118485,0.0094508935934934,0.005877431061682,0.025596544492846,0.0084191596454307,0.0009386005692245,0.0196901277415289,0.0131029132500546,0.0073805948874216,0.002872433202105,0.0180803258320221,0.0346932073467067,0.0311662683235377,0.0239152372048256,0.1111882395096293,0.0257609930079152,0.0060673908092365,0.0005415683995893
2026-07-14,15:00,0.0306696964989081,0.0973010260102409,0.0186142815927777,0.0265331928417949,0.0070680556187019,0.1676336504686888,,0.018111989131107,0.0013318565062286,0.0321046223453171,0.0186702501718282,0.0578960505578379,0.0146759510166,0.019996897873917,0.0210458475810192,0.3189680461969393,0.0284372516839564,0.0362367099290728,0.0120072303605428,0.1072856145699863,0.0203346575049447,0.0988192869298458,0.0051044240508591,0.0256329562605066,0.0095527343268121,0.04637598027907,0.0084968612488542,0.0057707030648682,0.0012439922407857,0.1516399537534468,0.0147589364989833,0.0186431582498888,0.0251417918330408,0.0500979311746808,0.0651098708068552,0.0566431569097499,0.1942637373003035,0.0357380464576032,0.0050612039748142,0.0009184167377578
2026-07-14,16:00,0.0176069807979925,0.1394781916049413,0.0167369909318252,0.0321251045705781,0.1840719229056858,0.1384320797318929,,0.0234016676453479,0.0026785752544278,0.0179496163050277,0.0417789415842181,0.0751594511383886,0.0217506626588866,0.0307552372122935,0.0417661212972807,0.0702596220944393,0.0297274549187026,0.0466560152564132,0.031185844290047,0.1377557992298859,0.0320706777347178,0.1824971321604858,0.0074870412450355,0.0328033932498846,0.0115073993063977,0.0603333556132189,0.0212964637348945,0.0433755858962692,0.294881205715943,0.1949851441803654,0.0159507810736067,0.0230739027301579,0.0282374186308426,0.0659338590597471,0.1081450801611134,0.0804691216808836,0.229673608023661,0.0486569321118363,0.0106320118162185,0.0009771957366291
